,dT,Tf,strainrange,df4,dc20,lte_cycles,ratio_dmgs
128,290,375,0.00282694,5.3847589354775175e-08,0.001037272759577025,964.0000000000008,5.1912661214329905e-05
129,300,375,0.00293488,6.458963876455449e-08,0.001649037184030875,605.9999999999998,3.916809116861319e-05
130,50,400,0.00049125,1.0719260718424839e-10,1.1160193365354468e-15,inf,
131,60,400,0.00058405,1.6256246726276456e-10,1.2012864334085067e-14,inf,
132,70,400,0.00067745,2.4051304764493126e-10,1.0042910011934642e-13,inf,
133,80,400,0.00077135,3.4785703813146256e-10,6.897508784039329e-13,inf,
134,90,400,0.00086569,4.929419597393381e-10,4.0441629160735455e-12,inf,
135,100,400,0.00096044,6.859147900483824e-10,2.0806500835669624e-11,inf,
136,110,400,0.00105557,9.389652619121633e-10,9.585415398890711e-11,inf,
137,120,400,0.00115108,1.2667318559473422e-09,4.016494639593485e-10,inf,
138,130,400,0.00124699,1.6867243434359772e-09,1.549733505429317e-09,inf,
139,140,400,0.00134327,2.219424521309353e-09,5.5599593140942354e-09,inf,
140,150,400,0.00143993,2.8891044469866613e-09,1.8695327738366936e-08,inf,
141,160,400,0.00153695,3.723947232128339e-09,5.93050399169886e-08,inf,
142,170,400,0.00163434,4.7570153159218106e-09,1.7845772837981647e-07,inf,
143,180,400,0.0017321,6.0266071025591476e-09,5.11793175832944e-07,inf,
144,190,400,0.00183021,7.576653559396297e-09,1.4044855275256045e-06,645810.9999999995,0.005394611344087467
145,200,400,0.00192868,9.458160293546308e-09,3.700591569289684e-06,257713.00000000006,0.0025558509001742578
146,210,400,0.00202774,1.1735319273264361e-08,9.392822615569796e-06,103995.99999999997,0.0012493921958891866
147,220,400,0.00212774,1.4488855901721391e-08,2.303148425487328e-05,42905.999999999985,0.0006290891086906682
148,230,400,0.0022291,1.7820542517677134e-08,5.4653771342395026e-05,18184.999999999985,0.0003260624487564632
149,240,400,0.0023318,2.1838536318745935e-08,0.0001252266167379,7959.999999999996,0.0001743921291465864
150,250,400,0.00243581,2.6668395658645684e-08,0.0002744320764084,3637.9999999999973,9.717667121010566e-05
151,260,400,0.00254125,3.2464762905463434e-08,0.000596831940245325,1673.999999999999,5.43951499849672e-05
152,270,400,0.00264831,3.9416537396781265e-08,0.001202721081921525,831.0000000000009,3.2772799936131086e-05
153,280,400,0.00275704,4.77395283700108e-08,0.0020130552692949,496.9999999999998,2.3714961580131987e-05
154,290,400,0.00286739,5.767841265360941e-08,0.00284983911460335,350.99999999999955,2.0239182049979435e-05
155,300,400,0.00297956,1.3773379884050157e-06,0.0035864493152434496,276.999999999999,0.0003840394404992508
156,50,425,0.00049462,1.0888085772039848e-10,1.493134254060669e-14,inf,
157,60,425,0.00058808,1.6542395077139767e-10,1.435563844482957e-13,inf,
158,70,425,0.00068213,2.4511565470713314e-10,1.0841447088162323e-12,inf,
159,80,425,0.00077668,3.5497686659739835e-10,6.786736030640286e-12,inf,
160,90,425,0.00087167,5.036098149850535e-10,3.6536406428474494e-11,inf,
161,100,425,0.00096709,7.015248876199017e-10,1.7369399585460287e-10,inf,
162,110,425,0.00106292,9.613725068654576e-10,7.435523341241695e-10,inf,
163,120,425,0.00115915,1.2983128045951938e-09,2.909043942795582e-09,inf,
164,130,425,0.00125577,1.730371976833484e-09,1.0523171428259032e-08,inf,
165,140,425,0.00135276,2.278789265715153e-09,3.552503408587281e-08,inf,
166,150,425,0.00145012,2.96862882025331e-09,1.12771651864584e-07,inf,
167,160,425,0.00154784,3.829143083171658e-09,3.3873624559880095e-07,inf,
168,170,425,0.00164593,4.894601432203562e-09,9.678351808493525e-07,942655.9999999998,0.005057267527626098
169,180,425,0.00174445,6.205597351468131e-09,2.642541507847428e-06,362261.0000000001,0.002348344324219569
170,190,425,0.00184374,7.814684433533066e-09,6.924354355432508e-06,141387.0,0.0011285795082688177
171,200,425,0.00194431,9.790329716409291e-09,1.748724033010188e-05,56583.0,0.0005598556165295323
172,210,425,0.0020462,1.220720298781117e-08,4.264590440354426e-05,23322.999999999993,0.0002862456115902338
