,dT,Tf,strainrange,df4,dc20,lte_cycles,ratio_dmgs
269,140,525,0.00150256,3.000193058623598e-08,0.000882261233814825,1134.0000000000014,3.4005722382825437e-05
270,150,525,0.00161493,4.396999804943838e-08,0.000936810267393675,1068.0000000000005,4.693586266060948e-05
271,160,525,0.00172826,6.461607993424598e-08,0.0009217128529490249,1084.999999999999,7.010434944842802e-05
272,170,525,0.00184235,9.467181722533235e-08,0.0008810966919317251,1134.0000000000014,0.00010744770476640075
273,180,525,0.00195687,1.2413022658527065e-06,0.00085238404130895,1159.0,0.0014562711239249862
274,190,525,0.00207197,1.92008943025733e-06,0.000844199634406725,1161.000000000001,0.002274449492751444
275,200,525,0.00218773,2.8831939486806234e-06,0.000847388564698575,1145.9999999999995,0.0034024461372171165
276,210,525,0.00230447,4.217947952341507e-06,0.000852524090658375,1123.0000000000014,0.004947599720125364
277,220,525,0.00242241,6.0283664567506965e-06,0.0008563097831350501,1098.9999999999986,0.007039936452296672
278,230,525,0.00252929,8.154874188687464e-06,0.002137613135123475,452.99999999999824,0.0038149438991992414
279,240,525,0.00266677,1.170490198430589e-05,0.00403770071372595,241.99999999999952,0.0028989028197448355
280,250,525,0.0028173,1.6844008323320904e-05,0.006059402402299275,161.9999999999998,0.002779813454364633
281,260,525,0.0029721,2.3746261715982442e-05,0.007938747884648326,122.99999999999866,0.002991184763771392
282,270,525,0.0031287,3.2668721889483195e-05,0.01026098000514165,95.00000000000048,0.0031837818486258915
283,280,525,,,,0.0,
284,290,525,,,,0.0,
285,300,525,,,,0.0,
286,50,550,0.00054893,5.716027686968053e-08,6.429348652211345e-07,864022.9999999998,0.0889052374691494
287,60,550,0.00065332,1.5951064260160464e-08,2.569692499282059e-06,368561.9999999999,0.006207382503788682
288,70,550,0.00075883,8.693831707319297e-09,8.817759299741108e-06,112410.99999999997,0.0009859456820934713
289,80,550,0.00086548,7.022658292266936e-09,2.6909237939399855e-05,37075.000000000015,0.0002609757403045788
290,90,550,0.00097316,7.21017851511617e-09,7.456983765492089e-05,13398.999999999996,9.669028043861334e-05
291,100,550,0.00108183,8.590637497612981e-09,0.000188468918884275,5304.0000000000055,4.5581189452717474e-05
292,110,550,0.00119158,1.1234262850820684e-08,0.0004150175373054,2408.9999999999973,2.7069368980794897e-05
293,120,550,0.00130282,1.558370389475976e-08,0.0007747495236276,1291.000000000001,2.0114505939664703e-05
294,130,550,0.00141588,2.2435570677718746e-08,0.00092501067569085,1081.000000000001,2.425439107604093e-05
295,140,550,0.00152963,3.288596591775362e-08,0.000864916172922075,1156.0,3.8022142431040536e-05
296,150,550,0.00164369,4.849618904579032e-08,0.000833190010306425,1199.9999999999982,5.820543747032531e-05
297,160,550,0.0017581,5.364520276297394e-07,0.00082061117038455,1212.0,0.0006537225509352382
