heliostat_id,sigma_x,sigma_y,amplitude,x_locations,y_locations,x_normal,y_normal
2089,1.5232518215411046,1.6900581545041373,2.5108244301854796,95.054635,588.570198,26.311510421054365,10.8
2090,1.6040892639330704,1.6957209875525754,6.210715881395369,-166.9615,552.334267,30.315137192014006,10.8
2091,1.741222387699658,1.7076583567696297,4.501252554833062,210.748289,498.05556,24.191943317319357,10.8
2092,1.4905398783524673,1.712722116108626,2.401653883143137,216.882559,476.69251,23.95643585411871,10.8
2093,1.6043106648848777,1.7271032612672608,6.1013223025661425,249.519952,422.245487,23.01440602445838,10.8
2094,1.604332645741952,1.719083173450006,6.091234090764116,222.031878,455.367854,23.720928408393732,10.8
2095,1.4895070270550927,1.6971981518462034,2.4811766098018717,-203.991225,520.357132,31.021659565229932,10.8
2096,1.701260025082115,2.4901356612059193,4.270563061859642,-157.904986,-55.133628,44.55135853779963,10.8
2097,1.665885261219699,1.733494168752588,4.373975267276724,207.872522,426.328259,23.720928398901158,10.8
2098,1.6047354080434322,1.6880832983291294,5.946158369167783,137.258119,560.45472,25.6049880607818,10.8
2099,1.604773760736303,1.6819960856051104,5.937082500988502,-95.054635,588.570198,29.137599914805477,10.8
2100,1.730593442027311,1.681845486975245,4.9015122237984885,63.520554,592.803004,26.782525337682003,10.8
2101,1.672117753474225,1.6906183179211596,4.151939370015952,175.941013,530.498562,24.898465686956733,10.8
2102,1.4863074312375744,1.7699952351868973,2.431126819404918,274.705533,305.876424,21.26676773604204,10.8
2103,1.605448911474367,1.735297704699543,5.790173242836495,292.285044,351.378847,21.601361284250423,10.8
2104,1.7382348942334362,1.820382639819971,4.5994329483808265,277.453151,226.660565,19.90723355999892,10.8
2105,1.6055111965545363,1.835697431270144,5.777292636207743,276.23654,208.460455,19.567349989978467,10.8
2106,1.7365905296347097,2.2376578127400006,4.456270044570317,-201.477035,-10.685946,42.05445525851492,10.8
2107,1.5160121921747245,1.676173873838198,2.5933331063151788,-63.520554,592.803004,28.66658499817784,10.8
2108,1.714698469911695,1.8043126124937332,4.861554842525354,278.156217,245.686953,20.24711709475315,10.8
2109,1.5657191856760133,1.675306624450627,3.102559007274292,31.805568,595.347518,27.2535402491215,10.8
2110,1.7204890832139461,1.7907958224033202,4.4433297360189625,277.791296,265.091026,20.58700066055431,10.8
2111,1.6799282671104903,1.6803170587930378,4.357576452366691,-137.258119,560.45472,29.844122275078043,10.8
2112,1.4832237951684,1.6724341533688794,2.6320178980375313,-0.0,596.196496,-27.72455516792992,10.8
2113,1.7010483319575795,1.672295184182162,4.7522816278587205,-31.805568,595.347518,28.19557008673834,10.8
2114,1.6895115213699008,2.642316564062196,4.57687958410164,-131.828625,-71.562655,45.975806954671874,10.8
2115,1.6065731844881075,1.6885664842242836,5.630975889242088,-210.748289,498.05556,31.257167018540486,10.8
2116,1.6073458319948726,1.772765627892293,3.164579094810659,276.828764,285.331429,20.926884199653124,10.8
2117,1.6066686222706055,1.6948281889133743,5.622654408336473,-216.882559,476.69251,31.49267448174113,10.8
2118,1.6207718105570084,1.6754093295329382,3.3778685302649833,107.163831,566.97901,26.07600296063334,10.8
2119,1.5920393098289904,1.7481198621718865,2.9841510745343784,-271.886539,327.255006,33.842459047665756,10.8
2120,1.6327922053838915,1.7366267659276042,3.6112810741351833,-267.815048,348.853798,33.502575495321885,10.8
2121,1.5608637438523847,1.678583909646216,3.139139336568895,-175.941013,530.498562,30.55064464890311,10.8
2122,1.643878266389397,1.696365304569535,3.881262781299597,-222.031878,455.367854,31.72818192746611,10.8
2123,1.6082532342123435,1.7116481691151006,5.473568543041023,-207.872522,426.328259,31.728181936958684,10.8
2124,1.6083925121845946,2.017407603653388,5.453803231126363,240.981991,68.615612,16.310266666796984,10.8
2125,1.7006365326536783,2.3249690282455053,4.490461603086283,-182.21157,-29.012191,42.980274900304344,10.8
2126,1.6544852605150242,1.6725556270323727,4.165262556416547,147.389725,539.129144,25.36948060224516,10.8
2127,1.4768717913696348,1.6989977564825,2.5537441150612934,-249.519952,422.245487,32.43470431140146,10.8
2128,1.7160436537036292,1.8331247090374163,4.759350404360062,274.044307,190.7011,19.2274664523717,10.8
2129,1.6650422514921386,1.67630128433544,4.356812513788725,183.878188,508.589219,24.662958219016154,10.8
2130,1.6106542479167436,1.6619808793634068,5.168602153352421,-107.163831,566.97901,29.373107375226503,10.8
2131,1.6108493164111923,2.0492693267721074,5.145920394649689,-232.431605,52.831257,39.61443901904148,10.8
2132,1.711537274148869,1.6799441004353075,4.667524568810878,191.143386,487.583838,24.42745077859214,10.8
2133,1.59613192139132,1.969097422673838,3.314931915786203,248.472729,85.464814,16.785862018241218,10.8
2134,1.6091814324260951,1.6574219855744667,3.53702735802887,76.764341,571.888556,26.547017886263376,10.8
2135,1.5813249652055268,1.6832347899739144,3.1118971197020797,197.42299,466.564251,24.19194330976581,10.8
2136,1.7105068153775338,1.6980785225404118,4.629124980424226,184.832985,436.810643,24.191943309702026,10.8
2137,1.6209527047774632,2.4377931618369315,4.03572509551816,162.739393,-38.595227,11.807308785958092,10.8
2138,1.613958088136973,1.660622063750778,4.86857822559446,-147.389725,539.129144,30.07962973361468,10.8
2139,1.4717841395790254,1.6884013604099906,2.7443957841750777,226.638914,434.955469,23.48542094896615,10.8
2140,1.5013231187069775,1.7059323935943573,2.742869819719556,-292.285044,351.378847,33.84774905160942,10.8
2141,1.526634936798279,1.737338187034546,3.0847440050114465,-274.705533,305.876424,34.1823425998178,10.8
2142,1.5609633639842115,1.6532751564969093,6.097172842313409,-76.764341,571.888556,28.902092449596466,10.8
2143,1.5609660252445703,1.6532289492595516,6.1087420228261315,46.146229,575.169375,27.0180327924328,10.8
2144,1.5610429501886367,1.657799069505557,6.2868640558291755,118.418674,546.224297,25.840495517295587,10.8
2145,1.5610519367737234,1.929954512306606,6.300573189046952,254.814501,103.308716,17.261457358126627,10.8
2146,1.6962701329946155,2.08238413944527,4.971707866261301,222.915012,38.175133,15.359075948738209,10.8
2147,1.5612328635922956,2.194346179010348,6.226309938050248,201.653842,6.550803,14.148860338038496,10.8
2148,1.561251150235391,1.6491556191914984,6.218254378377798,-46.146229,575.169375,28.431077543427044,10.8
2149,1.5239134954809637,1.7840372146974228,3.1063139899328065,-277.453151,226.660565,35.54187677586092,10.8
2150,1.6183591200245675,1.6602139070381603,4.5955572462479255,156.484405,517.674427,25.13397313567158,10.8
2151,1.5615898318785322,1.645569844427346,6.081111652787636,15.396693,576.812124,27.489047706729274,10.8
2152,1.5616223216683565,1.6574332826203424,6.068785221565929,-183.878188,508.589219,30.786152116843684,10.8
2153,1.689565695256943,1.7644362113056202,4.616142046777542,-278.156217,245.686953,35.20199324110669,10.8
2154,1.6240592742761473,1.6421134020325647,4.333537337263658,-15.396693,576.812124,27.96006262913057,10.8
2155,1.6788875060752482,1.74902882279815,4.959422842924948,-277.791296,265.091026,34.86210967530553,10.8
2156,1.5621983080686523,1.7904677898416548,5.928505111908343,-276.23654,208.460455,35.881760345881375,10.8
2157,1.5622517609628022,1.7349318849298194,5.9201358744773795,254.051306,305.787708,21.606651284412727,10.8
2158,1.4927054885623334,1.6566995939805191,2.7878856916954975,-191.143386,487.583838,31.021659557267704,10.8
2159,1.6312624286918975,1.8854680176184309,4.189938072088992,259.922566,122.070675,17.7370527085247,10.8
2160,1.6638231638757834,1.7306738146443672,4.851871711108297,-276.828764,285.331429,34.52222613620672,10.8
2161,1.4623797982726707,1.6414643381994092,2.744968323856769,-118.418674,546.224297,29.60861481856426,10.8
2162,1.686784876769339,1.717902726216585,4.8022605297579455,250.353407,326.1084,21.94653483687805,10.8
2163,1.5631690671136664,1.7069077034814042,5.793344818752904,245.897662,347.206666,22.286418392720933,10.8
2164,1.6401681644383603,2.574182112899898,4.473565797629839,139.163633,-55.977524,10.487261809710631,10.8
2165,1.5632519748409388,1.6760285122053042,5.785580246645931,-184.832985,436.810643,31.257167026157813,10.8
2166,1.6509649826150357,1.659930530390346,4.696237947836447,-197.42299,466.564251,31.25716702609403,10.8
2167,1.6840095827289088,1.6376632149248076,4.578140839384173,89.110369,551.763814,26.311510432172142,10.8
2168,1.534829962823854,1.6473676338310264,3.3413118901360988,164.859842,497.086537,24.898465679597116,10.8
2169,1.668597425124984,2.26949530549953,4.548779315613697,184.123691,-11.884013,13.293468959384114,10.8
2170,1.5646372391119403,1.640501651754983,5.659216171971676,-156.484405,517.674427,30.315137200188264,10.8
2171,1.5647596735073446,1.6611980251098235,5.647886957452131,-226.638914,434.955469,31.96368938689369,10.8
2172,1.4553716662915521,1.7862261813822178,2.910036785330037,-274.044307,190.7011,36.221643883488134,10.8
2173,1.5667597341126271,1.6831816407864437,5.443286720526345,240.176189,368.428108,22.62630194114486,10.8
2174,1.5669331426663717,1.8421390230036008,5.423740035328894,263.717199,141.667845,18.212648071630383,10.8
2175,1.5296772557950615,1.645875370712979,3.3832630865671987,172.251845,476.431883,24.662958220034284,10.8
2176,1.6654811997415448,1.7244044942154237,5.006984428410415,256.568509,285.681389,21.26676774663521,10.8
2177,1.569711994339397,1.6266421241578772,5.1371497409778755,128.644958,525.28531,25.604988051552006,10.8
2178,1.5699489676850107,1.9515255500133455,7.131773155834723,-240.981991,68.615612,39.138843669062865,10.8
2179,1.6606853306545124,1.617480745107029,4.841997559591664,-89.110369,551.763814,29.137599903687697,10.8
2180,1.5182704516571757,1.6143167980504682,6.142448534872852,59.54828,555.73192,26.782525342100847,10.8
2181,1.5736840714256763,1.6489415749369332,4.8388010577476885,161.267047,446.048999,24.662958226281212,10.8
2182,1.5183136914282527,1.613704919304994,6.359223649934921,-59.54828,555.73192,28.666584993758995,10.8
2183,1.5183202206682793,2.368273227038384,6.376653133544828,-162.739393,-38.595227,43.64180154990174,10.8
2184,1.6587877981267385,1.6405775624489565,4.7255529095218485,203.112414,446.426707,23.956435860244063,10.8
2185,1.4756014551471444,1.6250299495437803,2.986802952228021,-164.859842,497.086537,30.550644656262726,10.8
2186,1.6465984154312205,1.9078063074977956,5.185860405634945,-248.472729,85.464814,38.66324831761863,10.8
2187,1.518463640768568,1.6118011172711388,6.349718117650197,29.816599,558.117313,27.253540247552273,10.8
2188,1.5184787084427476,1.7378281755334148,6.338528544904455,259.18864,247.33886,20.58700065833586,10.8
2189,1.518763193536835,1.608672792871072,6.211117281179833,-29.816599,558.117313,28.195570088307573,10.8
2190,1.560221567314582,1.6146356302932188,3.8466671226888534,-128.644958,525.28531,29.844122284307836,10.8
2191,1.5187907854596088,1.6210514115466141,6.203085819828623,138.10678,505.173545,25.36948059599908,10.8
2192,1.5467696346727584,1.608062356066893,3.59571815040472,-0.0,558.9132,-27.72455516792992,10.8
2193,1.5788759227683857,1.6274558186770176,4.548374439789852,146.59013,484.942647,25.133973136422547,10.8
2194,1.5723213481777187,1.694107394697774,4.137794183717143,-254.051306,305.787708,33.84245905144712,10.8
2195,1.6337550242435817,1.7190337932313202,5.11816211698526,258.425516,266.362934,20.92688420110607,10.8
2196,1.4966835538410659,1.6133314466602755,3.333585913335692,100.439132,531.40019,26.07600297556268,10.8
2197,1.5835543271957842,1.6252782696510355,4.4452837236930165,-172.251845,476.431883,30.786152115825555,10.8
2198,1.5192837522029556,1.6692097966872692,6.084619242056732,-245.897662,347.206666,33.16269194313892,10.8
