dT,Tf,LTE
96.89655172,512.9310345,117.8849315
108.2758621,512.9310345,36.60273973
119.6551724,512.9310345,16.95890411
131.0344828,512.9310345,14.56986301
142.4137931,512.9310345,15.16438356
153.7931034,512.9310345,17.53424658
165.1724138,512.9310345,22.16986301
176.5517241,512.9310345,29.53150685
187.9310345,512.9310345,39.42465753
199.3103448,512.9310345,52.65205479
210.6896552,512.9310345,10.84657534
222.0689655,512.9310345,3.75890411
233.4482759,512.9310345,2.265753425
244.8275862,512.9310345,1.652054795
256.2068966,512.9310345,1.304109589
267.5862069,512.9310345,1.065753425
278.9655172,512.9310345,0.906849315
290.3448276,512.9310345,0.920547945
301.7241379,512.9310345,0.857534247
313.1034483,512.9310345,0.810958904
324.4827586,512.9310345,0.791780822
335.862069,512.9310345,0.791780822
347.2413793,512.9310345,0.791780822
358.6206897,512.9310345,0.671232877
370,512.9310345,0.671232877
40,523.2758621,inf
51.37931034,523.2758621,inf
62.75862069,523.2758621,inf
74.13793103,523.2758621,1753.50411
85.51724138,523.2758621,335.9013699
96.89655172,523.2758621,81.20821918
108.2758621,523.2758621,26.57260274
119.6551724,523.2758621,14.20821918
131.0344828,523.2758621,14.55342466
142.4137931,523.2758621,18.03013699
153.7931034,523.2758621,23.86575342
165.1724138,523.2758621,31.62739726
176.5517241,523.2758621,41.20821918
187.9310345,523.2758621,52.44657534
199.3103448,523.2758621,70.32876712
210.6896552,523.2758621,6.934246575
222.0689655,523.2758621,3.306849315
233.4482759,523.2758621,2.189041096
244.8275862,523.2758621,1.652054795
256.2068966,523.2758621,1.356164384
267.5862069,523.2758621,1.145205479
278.9655172,523.2758621,0.980821918
290.3448276,523.2758621,0.97260274
301.7241379,523.2758621,0.961643836
313.1034483,523.2758621,0.953424658
324.4827586,523.2758621,0.950684932
335.862069,523.2758621,0.950684932
347.2413793,523.2758621,0.950684932
358.6206897,523.2758621,0.808219178
370,523.2758621,0.808219178
40,533.6206897,inf
51.37931034,533.6206897,inf
62.75862069,533.6206897,inf
74.13793103,533.6206897,822.3917808
85.51724138,533.6206897,174.6849315
96.89655172,533.6206897,51.31780822
108.2758621,533.6206897,22.85753425
119.6551724,533.6206897,15.86575342
131.0344828,533.6206897,17.78082192
142.4137931,533.6206897,22.87671233
153.7931034,533.6206897,30.72876712
165.1724138,533.6206897,40.40821918
176.5517241,533.6206897,51.70684932
187.9310345,533.6206897,68.38356164
199.3103448,533.6206897,22.85205479
210.6896552,533.6206897,5.706849315
222.0689655,533.6206897,3.126027397
233.4482759,533.6206897,2.161643836
244.8275862,533.6206897,1.679452055
256.2068966,533.6206897,1.375342466
267.5862069,533.6206897,1.205479452
278.9655172,533.6206897,1.084931507
290.3448276,533.6206897,1.073972603
